SR, Pais, Error, Descripcion
4-0002392099, Colombia, "SM-09999, CL-PMNT-01, ST-SAVE-054", "no habian aplicado un parche a un paquete que ya habia sido resuelto en QA"
4-0002399885, Peru, "CL-ACC-410, ST-SAVE-054, AC-HOF04", "reconciliacion por SEG_DESGRA"
4-0002416923, Colombia, "", "cambiar de estado Activo A a Liquidado L las siguientes Operaciones 204160041261, 201700402654 FCC."
4-0002440875, Chile, "", "lleve a estado liquidado las cuentas adjuntas"
4-0002447532, Colombia, "SM-09999, CL-PMNT01, ST-SAVE-028", "no habian aplicado un parche a un paquete que ya habia sido resuelto en QA"
4-0002480698, Peru, "CL-ACC-410, ST-SAVE-054, AC-HOF04", "reconciliacion por SEG_DESGRA"
4-0002512031, Peru, "AC-HOF04", "reconciliacion por SEG_DESGRA"
4-0002541333, Chile, "", "problema de la interfaz PRD_CMRCL_FCC_S_CMRV1304"
4-0002540579, Peru, "ST-SAVE-054", "reconciliacion por SEG_DESGRA"
4-0002561529, Peru, "CL-ACC-410, ST-SAVE-054", "reconciliacion por SEG_DESGRA"
4-0002599612, Peru, "CL-ACC-410, ST-SAVE-054", "reconciliacion por SEG_DESGRA"
4-0002597597, Peru, "CL-ACC-410, ST-SAVE-054, AC-HOF04", "reconciliacion por SEG_DESGRA"
4-0002643647, Peru, "CL-ACC-410, ST-SAVE-054", "en este caso un ejecutivo genero mal los creditos y estaba desactivada la CLTB_ACCOUNT_COMP_BAL_BREAKUP"
4-0002642504, Mexico, "", "cambio en unos archivos que hay que actualizar, en especifico revisar FCUBSCLService.ear y Package body y spec: Gwpks_Query_Cust_Claccounts"
4-0002655038, Peru, "", "generar nueva sucursal de numero 300 en base a la sucursal 501"
4-0002652632, Colombia, "CL-ACC-410, ST-SAVE-054", "aca hubo que actualizar varias, no solo seg desgra"
4-0002707779, Peru, "", "work in progress"
4-0002674335, Mexico, "", "generar nueva sucursal de numero 381 en base a la sucursal 999"
4-0002707644, Peru, "", "work in progress"
