"SR","New","Fecha","Asunto","Carpeta"
"SR 4-0002919612","","2026-06-23 10:19","Re: SR 4-0002919612 - PCFA 3820 - LC queda con monto utilizado acreedor después de aplicar un pago superior a la deuda utilizad","Inbox"
"SR 4-0002951191","","2026-06-23 13:25","RE: BFCL/FCC ||  SR 4-0003089291 || Operación  200101419944 realiza una liquidación NO liquida deuda - TLIQ || - GSTI-71998","Inbox"
"SR 4-0003044730","","2026-06-23 13:10","Re: FCC/BFCL || Error al aplicar pago a la OP 209991716742 || SR 4-0003044730 - GSTI-68525","Sent Items"
"SR 4-0003061801","","2026-06-24 11:24","Re: FLEXCUBE - BFCL - Crédito 208800034455 No se visualiza en pantalla CLDIRFAP","Inbox"
"SR 4-0003062461","","2026-06-23 19:19","RE: BFCL seguro desgravamen - query SR 4-0003062461","Inbox"
"SR 4-0003062602","","2026-06-23 11:44","Re: BFCL || SR 4-0003062602 || BFCL || Operación 209140001450 con interés suspendido con saldo negativo || GSTI-71454","Sent Items"
"SR 4-0003089265","","2026-06-23 09:50","RE: FLEXCUBE - BFPE - Transacciones TD sin cargo en cuenta cliente - horario Batch flex / 4-0003089265","Inbox"
"SR 4-0003089291","","2026-06-23 13:25","RE: BFCL/FCC ||  SR 4-0003089291 || Operación  200101419944 realiza una liquidación NO liquida deuda - TLIQ || - GSTI-71998","Inbox"
"SR 4-0003096988","true","2026-06-23 15:32","RV: ALTA DE SUC- 3021, 3022, 3023, 3024, 3025, 3026, 3027, 3028, 3029, 3030 2591 - SR: 4-0003096988 [BFMX] ALTA SUCURSALES MEXICO","Inbox"
"SR 4-0003106866","true","2026-06-24 10:20","BFPE AGREGAR DATOS EN FIELD_NUMBER_2","Inbox"
"SR 4-0003108349","true","2026-06-24 13:00","Se formaliza SR 4-0003108349||BFCL ||GSTI-72816 Saldar Saldo Deuda y llevar a estado Liquido Operaciones|| ","Inbox"
"SR 4-2110028801","","2026-06-25 10:33","Re: BFCL - Movimiento contabilizado en cta 211002881 sin visualizar","Inbox"
