"SR","New","Fecha","Asunto","Carpeta"
"SR 4-0002391095","","2026-07-14 12:38","RE: [External] : Re: GSTI-44234 - Diferencias CH // SR#4-0002391095 ","Inbox"
"SR 4-0002753368","","2026-07-17 09:49","RE: [External] : Re: BFCO - Error en Cuenta de ahorros GSTI-66421 // SR#4-0002753368","Inbox"
"SR 4-0003052712","","2026-07-15 17:25","Re: [External] : Re: [FLEXCUBE COLOMBIA] Plan de optimizacion CLTB_ACCOUNT_COMP_CALC","Inbox"
"SR 4-0003089265","","2026-07-15 13:45","Re: FLEXCUBE - BFPE - Transacciones TD sin cargo en cuenta cliente - horario Batch flex / 4-0003089265","Inbox"
"SR 4-0003208033","","2026-07-14 11:17","RE: Generar Vista Egvw_Handoff_Dly_Noncl_cu 30/04/2026","Inbox"
"SR 4-0003231570","","2026-07-14 10:28","Re: BFCL/FCC || Crédito con saldo 0 en estado Activo - OP 230017922415 || SR-4-0003231570 - GSTI-74240","Sent Items"
"SR 4-0003239099","","2026-07-17 11:17","RE: Analisis Debug - BFCL - Revision de debug - SR: 4-0003239099","Inbox"
"SR 4-0003243305","","2026-07-15 16:40","Re: BFCL/FCC || Créditos activos con saldo de interés penal || SR 4-0003243305 - GSTI-74356","Sent Items"
"SR 4-0003254691","","2026-07-14 10:33","RE: FLEXCUBE - BFCO - Reversas duplicadas - GSTI-74332 - 4-0003254691","Inbox"
"SR 4-0003268832","true","2026-07-15 02:09","RE: Core_Banco_FCC_Colombia   END_OF_DAY   140726  CBFCCO0550  CBFCCO0106  aboratdos","Inbox"
"SR 4-0003275011","true","2026-07-15 13:12"," Incorporar en el modelo de datos de FlexCube el campo DE22 (POS Entry Mode) - SR  4-0003275011 ","Inbox"
"SR 4-0003277549","true","2026-07-15 17:14","BFCL - Solicitud recreación Vista Egvw_Handoff_Dly_cu","Inbox"
"SR 4-0003295418","true","2026-07-17 12:55","[BUP PE OCI] - GSTI-74745- Actualización de correos - AVIV (9,085 clientes)","Inbox"
"SR 4-0003295501","true","2026-07-17 13:10","[BFCL] - GSTI-74722 - Ajuste datos clientes  -Email  -Dirección  -Teléfono en BUP OCI","Inbox"
"SR 4-0003296185","true","2026-07-17 15:05","Re: BFCL - Falta de información de direcciones para interfaz BUP","Inbox"
"SR 4-8110441563","","2026-07-15 02:12","RE: [External] : RE: Core_Banco_FCC_Colombia   END_OF_DAY   140726  CBFCCO0550  CBFCCO0106  aboratdos","Inbox"
"SR 4-8131459383","","2026-07-15 02:12","RE: [External] : RE: Core_Banco_FCC_Colombia   END_OF_DAY   140726  CBFCCO0550  CBFCCO0106  aboratdos","Inbox"
